mmsi,name,year,gaps,flags,either_endpoint_inside_eez
412328762,LU RONG YUAN YU 779,2022,1,CHN,0
412328762,LU RONG YUAN YU 779,2026,1,CHN,0
416004853,HER HUNG NO.168,2017,6,TWN,0
416004853,HER HUNG NO.168,2018,3,TWN,0
412206009,LIAO YU 6,2017,1,CHN,0
412206009,LIAO YU 6,2018,2,CHN,0
412206009,LIAO YU 6,2019,5,CHN,0
412206009,LIAO YU 6,2020,1,CHN,0
412206009,LIAO YU 6,2023,1,CHN,0
441051000,SUR ESTE 707,2017,14,KOR,1
441051000,SUR ESTE 707,2018,43,KOR,2
441051000,SUR ESTE 707,2019,36,KOR,0
441051000,SUR ESTE 707,2020,21,KOR,0
441051000,SUR ESTE 707,2021,1,KOR,0
441051000,SUR ESTE 707,2024,1,KOR,0
412420574,JIA DA 12,2017,1,CHN,0
412420574,JIA DA 12,2018,9,CHN,0
412420574,JIA DA 12,2019,6,CHN,0
412420574,JIA DA 12,2020,8,CHN,0
412420574,JIA DA 12,2021,1,CHN,0
416004775,GUO TONG NO.3,2017,5,TWN,0
416004775,GUO TONG NO.3,2018,3,TWN,0
416004775,GUO TONG NO.3,2019,1,TWN,0
416242500,FU SHEN NO.212,2017,19,TWN,0
416242500,FU SHEN NO.212,2018,5,TWN,0
441239687,LU QING YUAN YU 206,2017,24,KOR,0
412440556,FU YUAN YU 7883,2017,5,CHN,0
412440556,FU YUAN YU 7883,2018,2,CHN,0
412440556,FU YUAN YU 7883,2019,24,CHN,0
412440556,FU YUAN YU 7883,2021,5,CHN,1
412440556,FU YUAN YU 7883,2022,6,CHN,0
412440556,FU YUAN YU 7883,2023,2,CHN,0
412440556,FU YUAN YU 7883,2024,1,CHN,0
412329654,LUPENGYUANYU027,2017,1,CHN,0
412329654,LUPENGYUANYU027,2018,7,CHN,0
412329654,LUPENGYUANYU027,2019,1,CHN,0
412329654,LUPENGYUANYU027,2021,3,CHN,0
412329654,LUPENGYUANYU027,2024,2,CHN,0
701536000,GC 27 PREFECTO FIQUE,2017,3,ARG,3
701536000,GC 27 PREFECTO FIQUE,2018,5,ARG,5
701536000,GC 27 PREFECTO FIQUE,2019,2,ARG,2
701536000,GC 27 PREFECTO FIQUE,2020,2,ARG,1
701536000,GC 27 PREFECTO FIQUE,2021,3,ARG,3
416037500,FA CHUN 6,2017,6,TWN,0
416037500,FA CHUN 6,2018,2,TWN,0
416004857,JAI FA NO.8,2017,4,TWN,0
416004857,JAI FA NO.8,2018,1,TWN,0
416004857,JAI FA NO.8,2024,1,TWN,0
412420581,RUNDA618,2017,2,CHN,0
412420581,RUNDA618,2018,19,CHN,0
412420581,RUNDA618,2022,1,CHN,0
412420581,RUNDA618,2024,3,CHN,0
224701000,JOSE A NORES,2017,22,ESP,0
224701000,JOSE A NORES,2018,6,ESP,0
224701000,JOSE A NORES,2019,10,ESP,0
224701000,JOSE A NORES,2020,7,ESP,0
740359000,ARGOS VIGO,2017,3,FLK,0
740359000,ARGOS VIGO,2018,5,FLK,0
740359000,ARGOS VIGO,2019,4,FLK,0
740359000,ARGOS VIGO,2021,2,FLK,0
740359000,ARGOS VIGO,2023,1,FLK,0
740359000,ARGOS VIGO,2025,1,FLK,0
740368000,KALATXORI,2017,4,FLK,0
740368000,KALATXORI,2018,2,FLK,0
577100000,FONG HAI NO.11,2017,1,VUT,0
416238600,JIN YI,2017,2,TWN,0
416238600,JIN YI,2018,1,TWN,0
416238600,JIN YI,2019,2,TWN,0
412420383,MING XIANG 802,2017,1,CHN,0
412420383,MING XIANG 802,2018,2,CHN,0
412420383,MING XIANG 802,2021,1,CHN,0
416004681,WIN FAR HUI 6,2017,5,TWN,0
416004681,WIN FAR HUI 6,2018,2,TWN,0
416004681,WIN FAR HUI 6,2019,1,TWN,0
412688888,,2017,1,CHN,0
416701000,JUI YING,2017,2,TWN,0
412329434,LURONGYUANYU976,2017,1,CHN,0
412329434,LURONGYUANYU976,2018,2,CHN,0
412329434,LURONGYUANYU976,2020,1,CHN,0
412329434,LURONGYUANYU976,2021,1,CHN,0
412329434,LURONGYUANYU976,2022,1,CHN,0
412329434,LURONGYUANYU976,2024,1,CHN,0
412329434,LURONGYUANYU976,2025,1,CHN,0
416004981,CHUN FU FA NO.6,2017,2,TWN,0
416004981,CHUN FU FA NO.6,2018,2,TWN,0
740338000,IGUELDO,2017,1,FLK,0
740338000,IGUELDO,2018,1,FLK,0
740338000,IGUELDO,2019,1,FLK,0
740338000,IGUELDO,2020,1,FLK,0
740338000,IGUELDO,2022,1,FLK,0
233659000,BAFFIN BAY,2017,4,GBR,0
233659000,BAFFIN BAY,2019,2,GBR,0
233659000,BAFFIN BAY,2020,1,GBR,0
416171800,FU KUO NO.6,2017,8,TWN,0
416171800,FU KUO NO.6,2018,1,TWN,0
273354660,NIKA-6,2017,3,RUS,0
416243900,XING HUA SHENG NO606,2017,4,TWN,0
416243900,XING HUA SHENG NO606,2018,2,TWN,0
416243900,XING HUA SHENG NO606,2019,1,TWN,0
416238500,LUNG SOON FA NO.1,2017,6,TWN,0
416238500,LUNG SOON FA NO.1,2018,1,TWN,0
412439618,YONG FA NO:3,2017,12,CHN,0
412439618,YONG FA NO:3,2018,6,CHN,0
412439617,YONG FA NO.5,2017,11,CHN,0
412439617,YONG FA NO.5,2018,8,CHN,0
412439617,YONG FA NO.5,2019,13,CHN,0
412439617,YONG FA NO.5,2020,26,CHN,0
416242600,LIEN DAR,2017,6,TWN,0
416242600,LIEN DAR,2018,7,TWN,0
416242600,LIEN DAR,2021,1,TWN,0
416242600,LIEN DAR,2022,1,TWN,0
416242600,LIEN DAR,2024,1,TWN,0
577101000,FONG TAI 21,2017,4,VUT,0
577101000,FONG TAI 21,2018,1,VUT,0
577101000,FONG TAI 21,2019,3,VUT,0
577101000,FONG TAI 21,2021,1,VUT,0
577101000,FONG TAI 21,2026,1,VUT,0
412326899,,2017,1,CHN,0
416248500,JIN YANG,2017,5,TWN,0
416248500,JIN YANG,2018,6,TWN,0
